artist,title,album,decade,year,date,lyric
Metallica,Disposable Heroes,Master of Puppets,80s,1986,1986-03-03,bodies fill the fields i see hungry heroes end no one to play soldier now no one to pretend running blind through killing fields bred to kill them all victim of what said should be a servant 'til i fall  pre soldier boy made of clay now an empty shell twentyone only son but he served us well bred to kill not to care do just as we say finished here greeting death he's yours to take away   back to the front you will do what i say when i say back to the front you will die when i say you must die back to the front you coward you servant you blind man   barking of machinegun fire does nothing to me now sounding of the clock that ticks get used to it somehow more a man more stripes you wear glory seeker trends bodies fill the fields i see the slaughter never ends  pre soldier boy made of clay now an empty shell twentyone only son but he served us well bred to kill not to care do just as we say finished here greeting death he's yours to take away   back to the front you will do what i say when i say back to the front you will die when i say you must die back to the front you coward you servant you blind man   why am i dying kill have no fear lie live off lying hell hell is here      why am i dying kill have no fear lie live off lying hell hell is here i was born for dying   life planned out before my birth nothing could i say had no chance to see myself molded day by day looking back i realize nothing have i done left to die with only friend alone i clench my gun  pre soldier boy made of clay now an empty shell twentyone only son but he served us well bred to kill not to care do just as we say finished here greeting death he's yours to take away   back to the front you will do what i say when i say back to the front you will die when i say you must die back to the front you coward you servant you blind man back to the front   back to the front back to the front back to the front back to the front
Metallica,To Live Is to Die,...And Justice for All,80s,1988,1988-08-25,spoken word when a man lies he murders some part of the world these are the pale deaths which men miscall their lives all this i cannot bear to witness any longer cannot the kingdom of salvation take me home
Metallica,Dyers Eve,...And Justice for All,80s,1988,1988-08-25,dear mother dear father what is this hell you have put me through believer deceiver day in day out lived my life through you pushed onto me what's wrong or right hidden from this thing that they call life dear mother dear father every thought i'd think you'd disapprove curator dictator always censoring my every move children are seen but are not heard tear out everything inspired  refrain innocence torn from me without your shelter barred reality i'm living blindly   dear mother dear father time has frozen still what's left to be hear nothing say nothing cannot face the fact i think for me no guarantee it's life as is but damn you for not giving me my chance dear mother dear father you clipped my wings before i learned to fly unspoiled unspoken i've outgrown that fucking lullaby same thing i've always heard from you do as i say not as i do  refrain innocence torn from me without your shelter barred reality i'm living blindly      i'm in hell without you cannot cope without you two shocked at the world that i see innocent victim please rescue me   dear mother dear father hidden in your world you've made for me i'm seething i'm bleeding ripping wounds in me that never heal undying spite i feel for you living out this hell you always knew
Metallica,Harvester of Sorrow,...And Justice for All,80s,1988,1988-08-25,my life suffocates planting the seeds of hate i've loved turned to hate trapped far beyond my fate i give you take this life that i forsake been cheated of my youth you've turned this lie to truth  pre anger misery you'll suffer unto me   harvester of sorrow language of the mad harvester of sorrow   pure black looking clear my work is done soon here try getting back to me get back which used to be drink up shoot in let the beatings begin distributor of pain your loss becomes my gain  pre anger misery you'll suffer unto me   harvester of sorrow language of the mad harvester of sorrow      all have said their prayers invade their nightmares to see into my eyes you'll find where murder lies infanticide   harvester of sorrow language of the mad harvester of sorrow language of the mad   harvester of sorrow harvester of sorrow harvester of sorrow harvester of sorrow harvester of sorrow harvester of sorrow
Metallica,Whiskey in the Jar,Garage Inc.,90s,1998,1998-11-24,as i was going over the cork and kerry mountains i saw captain farrell and his money he was counting i first produced my pistol and then produced my rapier i said stand and deliver or the devil he may take you i took all of his money and it was a pretty penny i took all of his money yeah and i brought it home to molly she swore that she would love me no never would she leave me but the devil take that woman yeah for you know she tricked me easy   musha ring dum a doo dum a da whack for my daddyo whack for my daddyo there's whiskey in the jaro   being drunk and weary i went to molly's chamber taking money with me but i never knew the danger for about six or maybe seven in walked captain farrell i jumped up fired off my pistols and i shot him with both barrels yeah   musha ring dum a doo dum a da whack for my daddyo whack for my daddyo there's whiskey in the jaro yeahah whiskey in the jaro yeah yeah yeah woah yeah yeah   now some men like the fishing and some men like the fowling and some men like to hear to hear cannon ball a roaring me i like sleeping specially in my molly's chamber but here i am in prison here i am with a ball and chain yeah   musha ring dum a doo dum a da yeah yeah whack for my daddyo whack for my daddyo whiskey in the jaro yeah whiskey in the jaro yeah   musha ring dum a doo dum a da musha ring dum a doo dum a da hey musha ring dum a doo dum a da musha ring dum a doo dum a da yeah
Metallica,Moth Into Flame,Hardwired…To Self-Destruct (Deluxe Edition),10s,2016,2016-09-26,blacked out pop queen amphetamine the screams crashed into silence tapped out doused in the gasoline the high times going timeless   decadence death of the innocence the pathway starts to spiral infamy all for publicity destruction going viral  pre light it up ah light it up another hit erases all the pain bulletproof ah kill the truth youre falling but you think youre flying high high again   sold your soul built a higher wall yesterday now youre thrown away same rise and fall who cares at all seduced by fame a moth into the flame   twisted backstabbing wicked the delusion absolution perjurer fame is the murderer seduce you into ruin  pre light it up ah light it up another hit erases all the pain bulletproof ah tell the truth youre falling but you think youre flying high high again   sold your soul built a higher wall yesterday now youre thrown away same rise and fall who cares at all seduced by fame a moth into the flame   burn guarantee your name you go and kill yourself the vultures feast around you still overdose on shame and insecurity if one wont do that fistful will  4 death scene black hearse the limousine a grave filled with seduction vaccine fame does the murdering she builds up for destruction  pre so light it up ah light it up another hit erases all the pain bulletproof ah no excuse youre falling but you think youre flying high high again   sold your soul built a higher wall yesterday now youre thrown away same rise and fall who cares at all seduced by fame a moth into the flame   addicted to the fame
Metallica,St. Anger,St. Anger,00s,2003,2003-06-05,verse saint anger 'round my neck saint anger 'round my neck he never gets respect saint anger 'round my neck  pre you flush it out you flush it out   saint anger 'round my neck you flush it out you flush it out   he never gets respect you flush it out you flush it out   saint anger 'round my neck you flush it out you flush it out   he never gets respect   fuck it all and no regrets i hit the lights on these dark sets i need a voice to let myself to let myself go free fuck it all and fucking no regrets i hit the lights on these dark sets medallion noose i hang myself saint anger 'round my neck  post i feel my world shake like an earthquake hard to see clear is it me is it fear i'm madly in anger with you i'm madly in anger with you  verse saint anger 'round my neck saint anger 'round my neck he never gets respect saint anger 'round my neck  pre you flush it out you flush it out   saint anger 'round my neck you flush it out you flush it out   he never gets respect you flush it out you flush it out   saint anger 'round my neck you flush it out you flush it out   he never gets respect   fuck it all and no regrets i hit the lights on these dark sets i need a voice to let myself to let myself go free fuck it all and fucking no regrets i hit the lights on these dark sets medallion noose i hang myself saint anger 'round my neck  post i feel my world shake like an earthquake hard to see clear is it me is it fear i'm madly in anger with you i'm madly in anger with you i'm madly in anger with you i'm madly in anger with you   and i want my anger to be healthy and i want my anger just for me and i need my anger not to control and i want my anger to be me and i need to set my anger free and i need to set my anger free set it free   fuck it all and no regrets i hit the lights on these dark sets i need a voice to let myself to let myself go free fuck it all and fucking no regrets i hit the lights on these dark sets medallion noose i hang myself saint anger 'round my neck  post i feel my world shake like an earthquake hard to see clear is it me is it fear i'm madly in anger with you i'm madly in anger with you i'm madly in anger with you i'm madly in anger with you
Metallica,The Thing That Should Not Be,Master of Puppets,80s,1986,1986-03-03,messenger of fear in sight dark deception kills the light hybrid children watch the sea pray for father roaming free   fearless wretch insanity he watches lurking beneath the sea great old one forbidden site he searches hunter of the shadows is rising immortal in madness you dwell   crawling chaos underground cult has summoned twisted sound out from ruins once possessed fallen city living death   fearless wretch insanity he watches lurking beneath the sea timeless sleep has been upset he awakens hunter of the shadows is rising immortal in madness you dwell in madness you dwell      not dead which eternal lie stranger eons death may die drain you of your sanity face the thing that should not be   fearless wretch insanity he watches lurking beneath the sea great old one forbidden site he searches hunter of the shadows is rising immortal in madness you dwell
Metallica,Now That We’re Dead,Hardwired…To Self-Destruct (Deluxe Edition),10s,2016,2016-11-18,when darkness falls may it be that we should see the light when reaper calls may it be that we walk straight and right when doubt returns may it be that faith shall permeate our scars when were seduced then may it be that we not deviate our cause  pre all sinners a future all saints a past beginning the ending return to ash    now that we're dead my dear we can be together now that we're dead my dear we can live forever    when all is pain may it be its all weve ever known when flame consumes may it be it warms our dying bones when loss has won may it be its you im madly fighting for when kingdom comes may it be we walk right through that open door  pre all sinners a future all saints a past beginning the ending return to ash    now that we're dead my dear we can be together now that we're dead my dear we can live forever     pre all sinners a future all saints a past beginning the ending return to ash    now that we're dead my dear we can be together now that we're dead my dear we can live we can live forever   return to ashes shed this skin beyond the black we rise again we shall live forever
Metallica,Whiplash,Kill ‘Em All,80s,1983,1983-07-25,late at night all systems go you've come to see the show we do our best you're the rest you make it real you know there's a feeling deep inside that drives you fucking mad a feeling of a hammerhead you need it oh so bad   adrenaline starts to flow you're thrashing all around acting like a maniac whiplash   bang your head against the stage like you never did before make it ring make it bleed make it really sore in a frenzied madness   with your leathers and your spikes heads are bobbing all around  it's hot as hell tonight   adrenaline starts to flow you're thrashing all around acting like a maniac whiplash   here on stage the marshall noise is piercing through your ears it kicks your ass kicks your face exploding feeling nears now's the time to let it rip to let it fucking loose we're gathered here to maim and kill cause this is what we choose   adrenaline starts to flow you're thrashing all around acting like a maniac   here we go    whiplash  4 the show is through the metal's gone it's time to hit the road another town another gig again we will explode hotel rooms and motorways life out here is raw but we'll never stop we'll never quit 'cause we're metallica   adrenaline starts to flow you're thrashing all around acting like a maniac   whoa whoa
Metallica,Don’t Tread on Me,Metallica,90s,1991,1991-08-12,james hetfield don't tread on me i said don't tread on me   james hetfield liberty or death what we so proudly hail once you provoke her rattling of her tail never begins it never but once engaged never surrenders showing the fangs of rage i said don't tread on me   james hetfield so be it  threaten no more to secure peace is to prepare for war so be it settle the score touch me again for the words that you will hear evermore don't tread on me   james hetfield love it or leave it she with the deadly bite quick is the blue tongue forked as a lightning strike shining with brightness always on surveillance the eyes they never close emblem of vigilance ooh no no no said don't tread on me   james hetfield so be it threaten no more to secure peace is to prepare for war so be it settle the score touch me again for the words that you will hear evermore don't tread on me    kirk hammett   james hetfield so be it threaten no more to secure peace is to prepare for war   james hetfield liberty or death what we so proudly hail once you provoke her rattling of her tail   james hetfield so be it threaten no more to secure peace is to prepare for war so be it settle the score touch me again for the words that you will hear evermore don't tread on me
Metallica,Until It Sleeps,Load,90s,1996,1996-06-04,where do i take this pain of mine i run but it stays right by my side    so tear me open and pour me out there's things inside that scream and shout and the pain still hates me so hold me until it sleeps   just like the curse just like the stray you feed it once and now it stays now it stays    so tear me open but beware there's things inside without a care and the dirt still stains me so wash me until i'm clean  post it grips you so hold me it stains you so hold me yeah it hates you so hold me yeah it holds you so hold me until it sleeps until it sleeps until it sleeps   so tell me why you've chosen me don't want your grip don't want your greed don't want it    i'll tear me open make you gone no more can you hurt anyone and the fear still shakes me so hold me until it sleeps  post it grips you so hold me it stains you so hold me it hates you so hold me yeah it holds you holds you holds you until it sleeps until it sleeps until it sleeps until it sleeps until it sleeps   i don't want it i don't want it want it want it want it want it no woahwoah    so tear me open but beware there's things inside without a care and the dirt still stains me so wash me 'til i'm clean   4 i'll tear me open make you gone no longer will you hurt anyone and the hate still shapes me so hold me until it sleeps   until it sleeps until it sleeps until it sleeps until it sleeps
Metallica,No Leaf Clover (Live with the SFSO),S&M (Live),90s,1999,1999-11-23,and it feels right this time on this crash course with the big time pay no mind to the distant thunder new day fills his head with wonder boy  says it feels right this time turned around and found the right line good day to be alive sir good day to be alive he said yeah   then it comes to be that the soothing light at the end of your tunnel was just a freight train coming your way then it comes to be that the soothing light at the end of your tunnel was just the freight train coming your way yeah   dont it feel right like this all the pieces fall to his wish sucker for that quick reward boy sucker for that quick reward they said   then it comes to be that the soothing light at the end of your tunnel was just a freight train coming your way then it comes to be that the soothing light at the end of your tunnel was just a freight train coming your way yeah it's coming your way it's coming your way yeah yeah  here it comes     yeah then it comes to be that the soothing light at the end of your tunnel was just a freight train coming your way yeah   then it comes to be yeah then it comes to be yeah then it comes to be yeah then it comes to be yeah then it comes to be yeah then it comes to be yeah then it comes to be yeah then it comes to be yeah  yeah
Metallica,King Nothing,Load,90s,1996,1996-06-04,wish i may wish i might have this i wish tonight are you satisfied dig for gold dig for fame you dig to make your name are you pacified  pre all the wants you waste all the things you've chased   then it all crashes down and you break your crown and you point your finger but there's no one around just want one thing just to play the king but the castle crumbled and you're left with just a name where's your crown king nothing where's your crown   hot and cold bought and sold a heart as hard as gold yeah are you satisfied wish i might wish i may you wish your life away are you pacified  pre all the wants you waste all the things you've chased   then it all crashes down and you break your crown and you point your finger but there's no one around just want one thing just to play the king but the castle crumbled and you're left with just a name where's your crown king nothing where's your crown  post oh nothing oh where's your crown      i wish i may i wish i might have this wish i wish tonight i want that star i want it now i want it all and i don't care how careful what you wish careful what you say careful what you wish you may regret it careful what you wish you just might get it   then it all crashes down and you break your crown and you point your finger but there's no one around just want one thing just to play the king but the castle crumbled and you're left with just a name where's your crown king nothing   nothing no you're just nothing where's your crown king nothing no you're just nothing absolutely nothing off to never never land
Metallica,Leper Messiah,Master of Puppets,80s,1986,1986-03-03,lars ulrich      4    james hetfield spineless from the start sucked into the part circus comes to town you play the lead clown  pre james hetfield please please spreading his disease living by his story knees knees falling to your knees suffer for his glory you will   james hetfield time for lust time for lie time to kiss your life goodbye send me money send me green heaven you will meet make a contribution and you'll get a better seat bow to leper messiah   james hetfield marvel at his tricks need your sunday fix blind devotion came rotting your brain  pre james hetfield chain chain join the endless chain taken by his glamour fame fame  infection is the game stinking drunk with power  we see   james hetfield time for lust time for lie time to kiss your life goodbye send me money send me green heaven you will meet make a contribution and you'll get a better seat bow to leper messiah   james hetfield witchery weakening sees the sheep are gathering set the trap hypnotize now you follow      james hetfield time for lust time for lie time to kiss your life goodbye send me money send me green heaven you will meet make a contribution and you'll get a better seat lie lie lie lie lie lie lie lie
Metallica,Eye of the Beholder,...And Justice for All,80s,1988,1988-08-25,do you see what i see truth is an offense you silence for your confidence do you hear what i hear doors are slamming shut limit your imagination keep you where they must do you feel what i feel bittering distress who decides what you express do you take what i take endurance is the word moving back instead of forward seems to me absurd  pre doesn't matter what you see or into it what you read you can do it your own way if it's done just how i say   independence limited freedom of choice is made for you my friend freedom of speech is words that they will bend freedom with their exception   do you fear what i fear living properly truths to you are lies to me do you choose what i choose more alternatives energy derives from both the plus and negative do you need what i need boundaries overthrown look inside to each his own do you trust what i trust me myself and i penetrate the smoke screen i see through the selfish lie  pre doesn't matter what you see or into it what you read you can do it your own way if it's done just how i say   independence limited freedom of choice is made for you my friend freedom of speech is words that they will bend freedom with their exception      do you know what i know your money and your wealth you silence just to hear yourself do you want what i want desire not a thing i hunger after independence lengthen freedom's ring  pre doesn't matter what you see or into it what you read you can do it your own way if it's done just how i say   independence limited freedom of choice is made for you my friend freedom of speech is words that they will bend freedom no longer frees you   doesn't matter what you see or into it what you read you can do it your own way if it's done just how i say
Metallica,Spit Out the Bone,Hardwired…To Self-Destruct (Deluxe Edition),10s,2016,2016-11-18,come unto me and you will feel perfection come unto me and dedicate come unto me you'll never feel rejection come unto me and terminate remove your heart it's only good for bleeding bleeding through your fragile skin remove your thought 'cause it's only for deceiving deceiving thoughts destroy within  pre  disappear like man was never here   long live machine the future supreme man overthrown spit out the bone   plug into me i guarantee devotion plug into me and dedicate plug into me and i'll save you from emotion plug into me and terminate accelerate utopian solution finally cure the earth of man exterminate speeding up the evolution set on course a master plan  pre  reinvent the earth inhabitant   long live machine the future supreme man overthrown spit out the bone  bass    the flesh betrays the flesh your man has had his time we lay him down to rest machined the new divine    stop breathing and dedicate to me stop dreaming and terminate for me all meaning you dedicate to me all feelings you terminate for me     pre  disappear like man was never here   long live machine our future supreme your man overthrown spit out the bone yeah
Metallica,Halo on Fire,Hardwired…To Self-Destruct (Deluxe Edition),10s,2016,2016-11-18,obey obey come won't you stay sincere sincere all ends in tears endure endure thoughts most impure concede concede but both shall we bleed   oh halo on fire the midnight knows it well fast is desire creates another hell i fear to turn on the light for the darkness won't go away fast is desire turn out the light halo on fire   allure allure sweetness obscure abide abide secrets inside deprive deprive to feel so alive obey obey just don't turn away   oh halo on fire the midnight knows it well fast is desire creates another hell i fear to turn on the light for the darkness won't go away fast is desire turn out the light halo on fire   prayers cannot get through return to sender unto which of you shall i surrender twisting in disguise dark resurrection lighting up the skies wicked perfection too dark to sleep can't slip away open or close my eyes betray beyond the black come won't you stay   hello darkness say goodbye hello darkness say goodbye hello darkness say goodbye
Metallica,Hero of the Day,Load,90s,1996,1996-06-04,refrain mama they try and break me   the window burns to light the way back home a light that warms no matter where they've gone they're off to find the hero of the day but what if they should fall by someone's wicked way  link still the window burns time so slowly turns and someone there is sighing keepers of the flames do you feel your name did you hear your babies crying  refrain mama they try and break me still they try and break me   excuse me while i tend to how i feel these things return to me that still seem real now deservingly this easy chair but the rocking stopped by wheels of despair   don't want your aid but the fist i make for years can't hold or feel no i'm not all me so please excuse me while i tend to how i feel   but now the dreams and waking screams that ever last the night so build the wall behind it crawl and hide until it's light so can you hear your babies crying now    still the window burns time so slowly turns and someone there is sighing keepers of the flames did you feel your names did you hear your babies crying   but now the dreams and waking screams that ever last the night so build a wall behind it crawl and hide until it's light so can't you hear your babies crying now  refrain x mama they try and break me mama they try and break me mama they try and break me mama they try mama they try
Metallica,Mama Said,Load,90s,1996,1996-06-04,mama she has taught me well told me when i was young son your life's an open book don't close it 'fore it's done the brightest flame burns quickest is what i heard her say a son's heart's owned to mother but i must find my way   let my heart go let your son grow mama let my heart go or let this heart be still be still   rebel my new last name wild blood in my veins apron strings around my neck the mark that still remains left home at an early age of what i heard was wrong i never asked forgiveness but what is said is done   let my heart go let your son grow mama let my heart go or let this heart be still   never i ask of you but never i gave but you gave me your emptiness i now take to my grave never i ask of you but never i gave but you gave me your emptiness i now take to my grave so let this heart be still   mama now i'm coming home i'm not all you wished of me but a mother's love for her son unspoken help me be i took your love for granted and all the things you said to me yeahyeah i need your arms to welcome me but a cold stone's all i see   let my heart go let your son grow mama let my heart go or let this heart be still let my heart go mama let my heart go you never let my heart go so let this heart be still   never i ask of you but never i gave but you gave me your emptiness i now take to my grave never i ask of you but never i gave but you gave me your emptiness i now take to my grave so let this heart be still
Metallica,Fight Fire with Fire,Ride the Lightning,80s,1984,1984-07-27,do unto others as they've done to you but what the hell is this world coming to blow the uniinto nothingness nuclear warfare shall lay us to rest   fight fire with fire ending is near fight fire with fire bursting with fear we all shall die   time is like a fuse short and burning fast armageddon's here like said in the past   fight fire with fire ending is near fight fire with fire bursting with fear      soon to fill our lungs the hot winds of death the gods are laughing so take your last breath   fight fire with fire ending is near fight fire with fire bursting with fear   fight fire with fire fight fire with fire fight fire with fire fight fire with fire fight fire with fire fight fire with fire fight fire with fire fight fire with fire fight
Metallica,"Damage, Inc.",Master of Puppets,80s,1986,1986-03-03,bass    dealing out the agony within charging hard and no one's going to give in living on your knees conformity or dying on your feet for honesty inbred our bodies work as one bloody but never cry submission following our instinct not a trend go against the grain until the end   blood will follow blood dying time is here damage incorporated   slamming through don't fuck with razorback stepping out you'll feel our hell on your back blood follows blood and we make sure life isn't for you and we're the cure honesty is my only excuse try to rob us of it but it's no use steamroller action crushing all victim is your name and you shall fall   blood will follow blood dying time is here damage incorporated   we chew and spit you out we laugh you scream and shout all flee with fear you run you'll know just where we come from damage incorporated go      damage jackals ripping right through you sight and smell of this it gets me going know just how to get just what we want tear it from your soul in nightly hunt fuck it all and fucking no regrets never happy ending on these dark sets all's fair for damage inc you see step a little closer if you please   blood will follow blood dying time is here damage incorporated
Metallica,The Memory Remains,Reload,90s,1997,1997-11-18,fortune fame mirror vain gone insane but the memory remains   heavy rings on fingers wave another star denies the grave see the nowhere crowd cry the nowhere tears of honor like twisted vines that grow hide and swallow mansions whole dim the light of an already faded primadonna   fortune fame mirror vain gone insane fortune fame mirror vain gone insane but the memory remains   heavy rings hold cigarettes up to lips that time forgets while the hollywood sun sets behind your back and can't the band play on just listen they play my song ash to ash dust to dust fade to black    marianne faithfull  fortune fame mirror vain gone insane fortune fame mirror vain gone insane dance little tin goddess   drift away fade away little tin goddess ash to ash dust to dust fade to black   fortune fame mirror vain gone insane fortune fame mirror vain gone insane but the memory remains   ash to ash ash to ash dust to dust dust to dust fade to black fade to black the memory remains   yeah to this faded primadonna yeah yeah yeah yeah    marianne faithfull  dance little tin goddess dance da da da da da da da da da da da da say yes or at least say hello la da da say yes or at least say hello la da da  da da da   da da da da   da da da da   da da   na da da da da   la da da da   da da da   da da da da   da da da da   da da   na da da da da   la da da da   da da da   da da da da   da da da da   da da   da da da da   da da da da   da da da   da da da da   da da da da say yes   da da da or at least say hello   na da da da da   da da da da say yes   da da da or at least say hello   da da da da da   da da da da   da da da
Metallica,Am I Evil?,Garage Inc.,90s,1998,1998-11-24,my mother was a witch she was burned alive thankless little bitch for the tears i cried take her down now don't want to see her face all blistered and burnt can't hide my disgrace  pre twentyseven everyone was nice got to see them make them pay the price see their bodies out on the ice take my time   am i evil yes i am am i evil i am man yes i am   as i watched my mother die i lost my head revenge now i sought to break with my bread taking no chances you come with me i'll split you to the bone help set you free  pre twentyseven everyone was nice got to see them make them pay the price see their bodies out on the ice take my time   am i evil yes i am am i evil i am man yes i am   on with the action now i'll strip your pride i'll spread your blood around i'll see you writhe your face is scarred with steel wounds deep and neat like a double dozen before you smells so sweet   am i evil yes i am am i evil i am man yes i am  4 i'll make my residence i'll watch your fire you can come with me sweet desire my face is long forgot my face not my own sweet and timely whore take me home   am i evil yes i am am i evil i am man yes i am  5 my soul is longing for await my heir sent to avenge my mother sweep myself my face is long forgot my face not my own sweet and timely whore take me home   am i evil yes i am am i evil i am man yes i am am i evil yes i fuckin' am am i evil i am man yes i am yeah
Metallica,The Shortest Straw,...And Justice for All,80s,1988,1988-08-25,suspicion is your name your honesty to blame put dignity to shame dishonor witchhunt modern day determining decay the blatant disarray disfigure the public eyes' disgrace defying commonplace unending paper chase unending deafening painstaking reckoning this vertigo it doth bring    shortest straw challenge liberty downed by law live in infamy rub you raw witchhunt riding through shortest straw this shortest straw has been pulled for you pulled for you shortest straw pulled for you shortest straw pulled for you shortest straw shortest straw has been pulled for you   the accusations fly discrimination why your inner self to die intruding doubt sunk itself in you its teeth and talons through you're living catch deluding a mass hysteria a megalomania reveal dementia reveal secretly silently certainly in vertigo you will be    shortest straw challenge liberty downed by law live in infamy rub you raw witchhunt riding through shortest straw this shortest straw has been pulled for you pulled for you shortest straw pulled for you shortest straw pulled for you shortest straw the shortest straw has been pulled for you     post  shortest straw pulled for you shortest straw pulled for you shortest straw pulled for you shortest straw the shortest straw has been pulled for you      behind you hands are tied your being ostracized your hell is multiplied upending the fallout has begun oppressive damage done your many turned to none to nothing you're reaching your nadir your will has disappeared the lie is crystal clear defending channels red one word said blacklisted with vertigo make you dead    shortest straw challenge liberty downed by law live in infamy rub you raw witchhunt riding through shortest straw this shortest straw has been pulled for you pulled for you
